Obra|DataUltimaAuditoria|ValorInicialContratado|ValorAditado|DespesaPaga|ValorTotal
2608|2017-10-27T00:00:00|527750.40|0.00|383071.27|527750.40
2609|2017-10-27T00:00:00|565976.32|0.00|544215.07|565976.32
2610|2017-10-27T00:00:00|573503.68|0.00|545739.26|573503.68
2611|2017-10-27T00:00:00|558273.08|0.00|517717.96|558273.08
2612|2017-10-27T00:00:00|323905.40|0.00|292104.14|323905.40
2613|2017-10-27T00:00:00|532273.51|0.00|89053.70|532273.51
2614|2017-10-27T00:00:00|418162.25|0.00|318503.51|418162.25
2615|2017-11-16T00:00:00|1664690.45|0.00|753836.93|1664690.45
2616|2018-08-02T00:00:00|35373473.48|1398086.72|17121611.48|36771560.20
2617|2017-11-16T00:00:00|933599.13|0.00|712068.77|933599.13
2618|2017-11-16T00:00:00|434372.44|68076.18|488330.60|502448.62
2619|2017-10-27T00:00:00|373104.71|0.00|262689.57|373104.71
2620|2017-10-16T00:00:00|3358558.57|0.00|0.00|3358558.57
2621|2017-10-06T00:00:00|494126.09|0.00|495019.00|494126.09
2622|2017-10-06T00:00:00|494126.09|0.00|418476.11|494126.09
2626|2017-10-06T00:00:00|362052.58|0.00|180044.02|362052.58
2627|2017-10-06T00:00:00|276942.55|0.00|70628.22|276942.55
2629|2017-10-06T00:00:00|144821.52|0.00|51927.78|144821.52
2631|2017-10-06T00:00:00|1263001.90|0.00|381467.04|1263001.90
2632|2017-10-06T00:00:00|193239.59|0.00|102877.32|193239.59
2633|2017-10-20T00:00:00|0.00|0.00|0.00|0.00
2634|2017-10-20T00:00:00|0.00|0.00|0.00|0.00
2635|2017-10-20T00:00:00|0.00|0.00|0.00|0.00
2640|2017-10-31T00:00:00|66452.04|0.00|44304.00|66452.04
2641|2017-10-31T00:00:00|173523.30|0.00|105887.14|173523.30
2649|2019-11-30T00:00:00|4730000.00|0.00|9850491.86|4730000.00
2650|2017-10-06T00:00:00|356561.42|0.00|156518.38|356561.42
2651|2019-09-10T00:00:00|7628958.59|-1420858.82|4277334.32|6208099.77
2652|2017-10-06T00:00:00|63126.16|0.00|30536.44|63126.16
2653|2017-11-24T00:00:00|1795559.02|0.00|460058.58|1795559.02
2654|2017-12-04T00:00:00|4530477.93|0.00|1448076.98|4530477.93
2655|2017-10-06T00:00:00|0.00|0.00|0.00|0.00
2656|2017-10-06T00:00:00|0.00|0.00|0.00|0.00
2657|2017-10-06T00:00:00|239440.95|0.00|39037.81|239440.95
2658|2017-11-17T00:00:00|1382147.90|0.00|0.00|1382147.90
2659|2018-01-18T00:00:00|1116890.84|0.00|1116890.84|1116890.84
2660|2018-01-18T00:00:00|139360.76|0.00|131228.60|139360.76
2661|2018-01-18T00:00:00|94794.53|22913.18|117707.71|117707.71
2662|2017-11-16T00:00:00|0.00|0.00|0.00|0.00
2663|2017-11-14T00:00:00|1917619.79|0.00|553688.54|1917619.79
2664|2017-11-14T00:00:00|1851586.12|0.00|284938.00|1851586.12
2665|2017-11-14T00:00:00|1224223.83|0.00|360226.23|1224223.83
2666|2017-11-14T00:00:00|469237.85|0.00|121756.32|469237.85
2667|2017-11-14T00:00:00|237643.89|0.00|18112.27|237643.89
